386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 377 380 383 
389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 380 383 386 
392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 383 386 389 
395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 386 389 392 
398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 389 392 395 
401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 392 395 398 
404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 395 398 401 
408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 398 401 404 
411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 401 404 408 
414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 468 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 404 408 411 
417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 468 471 468 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 408 411 414 
420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 468 471 475 471 468 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 411 414 417 
417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 468 471 468 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 408 411 414 
414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 468 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 404 408 411 
411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 465 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 401 404 408 
408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 462 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 398 401 404 
404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 459 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 395 398 401 
401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 456 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 392 395 398 
398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 453 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 389 392 395 
395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 450 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 386 389 392 
392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 447 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 383 386 389 
389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 444 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 380 383 386 
386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 441 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 377 380 383 
383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 374 377 380 
380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 371 374 377 
377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 368 371 374 
374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 365 368 371 
371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 362 365 368 
368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 359 362 365 
365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 356 359 362 
362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 353 356 359 
359 362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 347 350 353 356 
356 359 362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 347 344 347 350 353 
353 356 359 362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 347 344 341 344 347 350 
356 359 362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 347 344 347 350 353 
359 362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 347 350 353 356 
362 365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 350 353 356 359 
365 368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 353 356 359 362 
368 371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 356 359 362 365 
371 374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 359 362 365 368 
374 377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 362 365 368 371 
377 380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 365 368 371 374 
380 383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 368 371 374 377 
383 386 389 392 395 398 401 404 408 411 414 417 420 423 426 429 432 435 438 435 432 429 426 423 420 417 414 411 408 404 401 398 395 392 389 386 383 380 377 374 371 374 377 380 
0 1 2
1 1 2
2 1 2
3 1 2
4 1 2
5 1 2
6 1 2
7 1 2
8 1 2
9 1 2
10 1 2
11 1 2
12 1 2
13 1 2
14 1 2
15 1 2
16 1 2
17 1 2
18 1 2
19 1 2
20 1 2
21 1 2
22 1 2
23 1 2
24 1 2
25 1 2
26 1 2
27 1 2
28 1 2
29 1 2
30 1 2
31 1 2
32 1 2
33 1 2
34 1 2
35 1 2
36 1 2
37 1 2
38 1 2
39 1 2
40 1 2
41 1 2
42 1 2
43 1 2
44 -2 -2
45 -2 -2
46 -2 -2
47 -2 -2
48 -2 -2
49 -2 -2
50 -2 -2
51 -2 -2
52 -2 -2
53 -2 -2
54 -2 -2
55 -2 -2
56 -2 -2
57 -2 -2
58 -2 -2
59 -2 -2
60 -2 -2
61 -2 -2
62 -2 -2
63 -2 -2
16 -3 -4
22 9 0
1 -4 -19
2 4 -14
3 -6 -10
4 0 -12
7 18 7
8 -10 -6
10 -3 14
12 15 -16
13 -18 10
15 -21 14
17 -4 -11
19 11 -10
21 13 1
23 13 1
25 -4 -19
26 19 11
27 13 21
28 -20 4
31 0 -12
32 8 5
33 -10 -6
34 8 -18
36 13 21
39 16 -14
40 8 -18
45 -11 11
47 8 5
48 16 -14
51 -8 16
54 11 1
55 -13 2
64 -1 -8
65 -1 -8
66 -1 -8
11 -3 14
21 0 14
27 -19 -9
10 16 1
-1 -1 -1
6
2
10
42
36
66
0
54
26
55
57
59
43
44
31
51
22
34
48
13
16
15
4
25
60
63
53
46
47
1
41
61
7
32
38
12
65
49
8
45
40
9
24
14
11
33
29
5
58
21
56
50
62
52
39
37
23
3
64
35
27
28
30
19
20
17
18
